,u-g,ecc,petroR50_u,class
442,1.8043900000000013,0.7014437,1.640082,elliptical
102,1.797450000000001,0.5010844,4.709179,merger
149,1.4148899999999998,0.6106631,2.009799,merger
549,1.0996299999999994,0.9964085,25.71847,spiral
227,2.140229999999999,0.939496,0.4402603,merger
190,1.2278400000000005,0.595955,1.56568,merger
382,1.8141700000000007,0.9217497,5.030539,elliptical
45,0.0230099999999993,0.3070523,2.018436,merger
47,1.69679,0.3893272,3.911711,merger
9,1.711800000000002,0.6939709,5.513676,merger
101,1.176560000000002,0.8701563,1.625211,merger
314,1.8561300000000005,0.8384337,4.380874,elliptical
66,0.7530999999999999,0.8957848,2.125836,merger
604,1.3886900000000022,0.9931098,11.00697,spiral
342,2.0587599999999995,0.7978799,3.710289,elliptical
448,1.8504299999999996,0.5351443,4.731027,elliptical
675,1.673129999999999,0.6270233,11.94888,spiral
702,1.83001,0.7413938,7.07654,spiral
605,1.2503100000000025,0.9215653,3.995692,spiral
98,1.33915,0.454282,3.946372,merger
135,1.6877299999999984,0.3500577,1.654327,merger
482,1.89846,0.7273707,5.938925,elliptical
195,1.4829800000000013,0.8744032,3.38264,merger
708,1.193340000000001,0.8080482,7.990358,spiral
172,0.7997399999999999,0.5712051,1.803286,merger
197,1.5279500000000006,0.8557755,1.604192,merger
487,2.025110000000001,0.8726296,3.617526,elliptical
654,2.0652399999999997,0.7754218,4.399585,spiral
516,1.9445699999999988,0.9658811,4.09314,elliptical
198,1.9253600000000013,0.6396433,2.453202,merger
658,1.5063899999999997,0.6882419,7.239414,spiral
373,1.8773099999999976,0.8870995,11.96221,elliptical
332,1.90945,0.9260558,4.919879,elliptical
565,1.554740000000001,0.7938403,13.56647,spiral
601,1.500449999999999,0.8332199,8.595052,spiral
260,1.9856599999999995,0.8356463,5.98112,elliptical
441,1.9242600000000003,0.942297,5.630464,elliptical
526,1.2991899999999994,0.8456243,8.278754,spiral
646,1.587959999999999,0.7445307,8.102747,spiral
395,1.8813999999999995,0.7349662,4.616611,elliptical
495,1.8870000000000005,0.8934712,3.969231,elliptical
344,1.9296399999999991,0.7806347,9.596523,elliptical
376,1.8836200000000003,0.902583,4.547526,elliptical
273,2.05588,0.7401543,6.992637,elliptical
438,2.0104299999999995,0.9416163,2.282764,elliptical
588,1.9628999999999976,0.744324,4.336878,spiral
233,0.9078499999999998,0.8443961,2.535233,merger
44,1.9675000000000007,0.7998756,3.570867,merger
767,1.326789999999999,0.7645495,7.765787,spiral
687,1.5090900000000005,0.7470111,3.790201,spiral
535,1.2553700000000028,0.5094079,5.869851,spiral
650,1.796949999999999,0.7443576,9.369906,spiral
581,1.1359500000000011,0.7169644,3.48111,spiral
292,1.976799999999999,0.8099252,14.00209,elliptical
719,1.314499999999999,0.9102932,4.712465,spiral
474,1.88824,0.8963699,6.785334,elliptical
103,1.8289200000000017,0.7431359,5.874796,merger
558,1.4061899999999987,0.5256053,10.89918,spiral
157,1.4612599999999991,0.4608733,1.718428,merger
259,0.6111700000000013,0.3041952,1.633448,merger
321,1.932739999999999,0.718112,2.606997,elliptical
739,1.2423400000000022,0.4915952,2.872363,spiral
50,1.8980100000000029,0.5402797,3.276323,merger
530,1.3511999999999986,0.8199207,5.595064,spiral
418,1.951229999999999,0.6234633,2.672791,elliptical
678,1.2350999999999992,0.864002,11.82943,spiral
367,1.627369999999999,0.7733337,3.557428,elliptical
173,1.2593500000000013,0.2268939,3.892346,merger
243,0.9330299999999988,0.5616748,2.435396,merger
3,1.2283999999999988,0.6689994,3.627267,merger
431,1.7942399999999985,0.7359444,3.598586,elliptical
679,1.2397600000000004,0.913215,5.225494,spiral
396,1.8194799999999989,0.8060013,2.870977,elliptical
267,1.8184000000000005,0.8559797,4.325008,elliptical
4,1.8079199999999995,0.5001697,3.256751,merger
674,1.4062,0.49046,10.99968,spiral
104,1.8769900000000028,0.5326071,2.031513,merger
730,1.8884000000000007,0.732147,3.076205,spiral
6,2.3590899999999984,0.878042,0.8226007,merger
538,1.9617499999999983,0.6266975,1.729802,spiral
78,1.910420000000002,0.7943906,13.68032,merger
572,1.4298600000000017,0.9063611,6.983705,spiral
701,1.3467599999999995,0.9837031,22.92508,spiral
662,1.4783299999999997,0.7073256,30.99597,spiral
720,1.688839999999999,0.3196237,2.636584,spiral
257,1.0219099999999983,0.4549717,2.062088,merger
82,1.0485099999999967,0.8700823,2.412288,merger
146,0.998899999999999,0.5692382,1.622911,merger
325,1.876540000000002,0.9203625,3.089627,elliptical
770,1.4801000000000002,0.6437216,4.532952,spiral
28,0.8735499999999998,0.7802803,2.270644,merger
392,1.915140000000001,0.7592813,4.482953,elliptical
620,1.1115500000000011,0.8236016,4.327832,spiral
275,2.03435,0.7298831,7.905652,elliptical
295,1.95584,0.8933201,4.812139,elliptical
761,1.464699999999997,0.3848955,5.594085,spiral
741,0.8050499999999996,0.876945,8.285465,spiral
121,1.417570000000001,0.2696759,3.890831,merger
261,1.732569999999999,0.7729652,3.903986,elliptical
560,1.4852200000000018,0.8259404,6.350849,spiral
413,2.0759799999999977,0.7889772,3.519809,elliptical
716,1.661389999999999,0.8654854,10.33826,spiral
760,1.4800900000000006,0.6818611,7.639889,spiral
36,1.3062600000000018,0.7541662,4.713706,merger
752,1.1213800000000005,0.9276754,10.14086,spiral
644,1.1862700000000004,0.8780942,6.08743,spiral
372,2.002570000000002,0.8422614,8.770532,elliptical
11,1.2942699999999974,0.604212,5.913895,merger
492,1.8982399999999997,0.6455118,5.264699,elliptical
656,1.197890000000001,0.8746315,4.26785,spiral
498,2.043090000000003,0.7425545,3.03246,elliptical
109,1.43684,0.5123407,2.294677,merger
310,1.8649500000000003,0.9319268,5.745497,elliptical
167,1.6637400000000009,0.5888044,2.964004,merger
29,1.7994500000000002,0.5101351,7.026027,merger
486,1.8958100000000009,0.79794,6.640289,elliptical
277,1.8618799999999995,0.6242248,2.995388,elliptical
86,0.9555900000000008,0.4880159,4.511734,merger
316,1.7567200000000014,0.8521752,8.537376,elliptical
409,1.4342000000000006,0.8477597,1.639175,elliptical
174,2.256649999999997,0.3706972,1.804032,merger
519,1.7652800000000006,0.6293741,4.251416,elliptical
85,2.0369400000000013,0.5937869,1.071306,merger
455,1.921810000000001,0.7250559,4.279113,elliptical
666,0.8031699999999979,0.311818,5.450073,spiral
246,1.3766999999999996,0.4538573,2.039995,merger
445,2.30115,0.7647593,1.760226,elliptical
407,1.9921700000000016,0.8526142,2.795455,elliptical
447,1.9694000000000005,0.7667384,4.893922,elliptical
228,2.087799999999998,0.4467746,2.545208,merger
164,1.6115899999999996,0.4751164,5.668823,merger
262,1.984020000000001,0.8608131,6.158869,elliptical
381,2.0902800000000017,0.6593171,5.08643,elliptical
673,1.567820000000001,0.8745437,5.851437,spiral
534,1.475859999999999,0.5817519,11.23032,spiral
422,1.9871599999999996,0.6353979,3.942118,elliptical
520,1.439020000000001,0.706977,7.590743,spiral
643,1.1009100000000025,0.4361676,9.878066,spiral
95,1.938089999999999,0.4930519,2.499622,merger
285,2.07086,0.8517063,2.6472,elliptical
129,1.6395400000000002,0.4301876,1.757377,merger
637,1.19107,0.7498994,3.846545,spiral
65,-8.20235,0.3998958,61.13338,merger
37,2.501980000000003,0.6937991,3.04409,merger
399,1.9271899999999995,0.6444635,10.85197,elliptical
421,1.993490000000001,0.8675388,8.714464,elliptical
554,1.1965199999999996,0.4811639,2.849784,spiral
668,1.7447700000000008,0.6395409,5.584987,spiral
771,1.806169999999998,0.7985259,3.779945,spiral
340,1.9528700000000008,0.9037286,6.115695,elliptical
496,1.83836,0.8211977,10.47599,elliptical
507,2.01943,0.7951854,5.299187,elliptical
467,1.99258,0.9701105,3.346446,elliptical
524,1.5295299999999994,0.785748,11.75781,spiral
269,1.74024,0.768481,4.156584,elliptical
240,1.0369600000000003,0.5271935,2.10542,merger
126,1.5024699999999989,0.6211151,3.716273,merger
756,1.3840499999999984,0.8889452,10.68456,spiral
23,1.6460100000000004,0.5247679,4.977104,merger
688,1.285070000000001,0.8666906,5.559885,spiral
366,1.784959999999998,0.8291664,4.800092,elliptical
70,1.9449600000000016,0.6593674,9.103419,merger
142,1.1676099999999998,0.3142013,4.688868,merger
10,1.28303,0.5796064,1.930742,merger
389,1.5575900000000011,0.9421583,4.345451,elliptical
5,2.0321399999999983,0.5722513,10.77224,merger
556,1.7788600000000017,0.8792765,6.008584,spiral
279,2.1744100000000017,0.824696,4.401828,elliptical
182,1.3543500000000002,0.6776694,2.99309,merger
598,1.3274699999999982,0.5644745,4.382338,spiral
58,1.80996,0.5677805,4.018362,merger
111,1.0385100000000025,0.5673273,3.72053,merger
68,1.2707599999999992,0.3928096,6.704854,merger
69,1.8330299999999973,0.7559928,5.950726,merger
41,1.7572200000000002,0.6999355,4.936532,merger
175,1.5429899999999996,0.4239993,1.4457,merger
364,1.83376,0.9188477,3.512275,elliptical
220,2.4550800000000024,0.938206,1.838884,merger
424,1.81007,0.8315174,3.401785,elliptical
324,1.8590699999999991,0.8423629,2.235184,elliptical
79,2.131060000000001,0.6949486,3.419578,merger
729,1.3778099999999966,0.7462369,6.075799,spiral
571,1.2269700000000014,0.7499405,5.903994,spiral
355,2.0306500000000014,0.8535542,8.124797,elliptical
434,1.8693200000000016,0.6630546,2.544502,elliptical
737,1.5205199999999994,0.6280916,6.497854,spiral
669,1.136099999999999,0.700258,3.772992,spiral
53,1.6332099999999985,0.4353404,17.71189,merger
709,1.40057,0.8910345,15.36672,spiral
677,1.3689099999999996,0.9118576,6.658164,spiral
404,1.8628600000000013,0.8036737,5.177075,elliptical
359,2.1280900000000003,0.8506843,5.153286,elliptical
235,1.81673,0.8308384,0.7647387,merger
490,1.837469999999998,0.6860392,10.00761,elliptical
27,1.3933100000000032,0.4741131,2.599737,merger
553,1.5710800000000005,0.8004903,7.755419,spiral
652,1.1447700000000012,0.9000224,5.168405,spiral
552,1.8702699999999977,0.6485183,2.143649,spiral
624,1.7234499999999997,0.7441612,6.401019,spiral
63,1.5483399999999996,0.5125787,3.033735,merger
320,1.9437800000000005,0.6299368,2.634112,elliptical
638,1.0050799999999995,0.7124941,2.656459,spiral
539,1.3496099999999984,0.9056176,9.849186,spiral
288,1.8877200000000016,0.7595831,4.414327,elliptical
433,1.98865,0.8244902,2.742142,elliptical
475,1.8302700000000005,0.9647063,9.043689,elliptical
634,1.7191600000000005,0.6657881,10.32541,spiral
566,1.542749999999998,0.437719,6.023027,spiral
631,1.5239599999999989,0.8767955,3.390103,spiral
537,0.8371299999999984,0.614685,1.480893,spiral
206,1.3000000000000007,0.8084054,-9999.0,merger
315,1.638650000000002,0.9164166,3.532859,elliptical
21,2.0405200000000008,0.8556074,3.036843,merger
160,1.6668999999999985,0.4086453,2.340428,merger
88,1.854409999999998,0.5749806,1.566217,merger
90,0.9401399999999996,0.3866959,1.878258,merger
187,1.670300000000001,0.2444136,4.842409,merger
305,1.8890100000000007,0.8977969,6.881123,elliptical
550,1.4729600000000005,0.9497749,4.629304,spiral
602,1.6368700000000018,0.4294604,4.067579,spiral
229,1.8179599999999996,0.5818354,2.379707,merger
497,1.852699999999999,0.9041197,4.437196,elliptical
614,1.1110600000000002,0.7892233,5.976692,spiral
726,1.682019999999998,0.5210929,11.1977,spiral
124,1.06466,0.6316847,3.471078,merger
162,1.785590000000003,0.5152364,2.18998,merger
489,1.82565,0.716484,4.361598,elliptical
743,1.43393,0.899846,6.116075,spiral
483,2.0061800000000005,0.8880646,5.463611,elliptical
651,1.4877399999999987,0.6500981,4.762932,spiral
545,1.3196900000000014,0.7707539,4.218905,spiral
523,1.7559000000000005,0.4608842,9.785398,spiral
639,1.2811000000000003,0.7181082,14.49261,spiral
529,1.1895600000000002,0.9063014,8.506415,spiral
689,1.4784000000000006,0.5893165,7.330545,spiral
52,1.0141300000000015,0.2999564,5.831962,merger
585,1.73236,0.8909362,6.096132,spiral
456,1.93141,0.8094231,4.393629,elliptical
81,1.2820900000000002,0.8528052,3.600371,merger
286,1.7958399999999983,0.7725333,4.045274,elliptical
40,0.8042699999999989,0.4263786,1.510635,merger
59,1.1147400000000012,0.8368931,2.513355,merger
625,1.212489999999999,0.8499998,4.943053,spiral
32,1.4785400000000024,0.3251639,5.161983,merger
